Label,Text
0,"Sanctuary jurisdictions ""violate the laws of our nation."""
1,"One year ago, (Republicans) would not fill seats vacated for people who went to the administration because of the cost of those elections. Now, they’re talking about changing the rules to add additional elections that will cost millions of dollars of taxpayer expense."""
0,"Illegal refugees get $3,874/mo. Under the Federal Assistance Program. Our SS checks are approximately $1,200/mo."
0,"Says as a Schedule 1 drug, marijuana carries a designation that means it ""should not be researched""  "
1,"We have lost over $1 billion in not taking the Medicaid expansion money, only to insure fewer people."""
1,In fact 7 out of 10 new jobs in America are created by small businesses.
0,"We are watching, you know, millions of illegal immigrants cross our borders, and many of them voting in the past election that's what, just a couple weeks ago."""
0,"If you buy, you know, a box of cereal, if you do anything, you have a voter ID. … The only thing you don’t is if you’re a voter of the United States."""
1,"Middle-class income rose to a record level in 2017 as the strong economy lifted the fortunes of more Americans."""
0,"(George) Soros Provides Migrants With Prepaid Debit Cards To Fund Illegal Journeys""  "
1,Broward elections department has a history of violating the law.
0,"There is no reason for these massive, deadly and costly forest fires in California except that forest management is so poor."
0,Election fraud: Democrats are voting twice in Maryland
1,"The number of people who just got their voting rights restored in Florida is greater than the populations of Wyoming, Vermont, Alaska, North Dakota, South Dakota, Delaware, Rhode Island, Montana, Maine and New Hampshire."""
0,"Starbucks executive ""believes white men are the root of all evil."""
1,Trump supporters are heading to the border as the migrant caravan approaches.
0,"Black Panthers Just Took Over City (Atlanta) – All Out War On Election Day""  "
0,"Says Stacey Abrams posed with a campaign sign that described her as a ""communist"" and part of the ""Muslim-Brotherhood"""
1,"Says Texas U.S. Rep. John Culberson ""was caught using campaign cash on collectibles, including Civil War memorabilia and fossils."""
1,"Do you know that New York State pays out way more than they ever get back?"""
0,"The Democrat plan would just obliterate Medicare and terminate Medicare Advantage ... seniors who have been paying for this for years (and) will not be taken care of anymore."""
1,"Scott Walker Says Tony Evers wants to give in-state tuition and drivers licenses to ""illegal aliens."""
0,"Donald Trump says Democrats let him (cop killer Luis Bracamontes) into our country,"" and ""Democrats let him stay."""
1,"Donald trump Household income among Hispanic Americans has just set a new record high."""
1,"John Manchin West Virginia ""has the highest overdose rate per capita of any state in our nation."""
1,"Duncan Hunter Says ""Ammar Campa-Najjar is working to infiltrate Congress"" and ""is being supported by CAIR and the Muslim Brotherhood."""
1,"jon tester says ""Matt Rosendale supports plans that don’t have to cover (pre-existing conditions)."""
0,"Linda Coleman says ""Seniors can be charged five times what anybody else is charged for health care for pre-existing conditions"" under the Republican health care bill."
0,"phil scott says ""We have the most progressive tax system in the country, right here in Vermont."""
1,"marc molinaro says On spending growth under Gov. Andrew Cuomo: ""Despite the fact that you continue to suggest that you’ve been able to hold the two percent, you haven’t.""  "
0,"alex jones Says explosive devices mailed to prominent Democrats and Trump critics confirm the ""deep state (is) launching false flag against (mainstream media)/Dems to blame Trump & pro-America forces."""
0,"donald trump says In California, ""they're rioting now"" over sanctuary cities."
0,"donald trump says Saudi Arabia has ordered $450 billion, ""$110 billion of which is a military order,"" producing ""over a million jobs."""
0,"jeff sessions says An agreement between the city of Chicago and the ACLU caused ""virtually all of the rise in homicides"" in 2016."
1,"dan mccready says ""Mark Harris has said he would abolish the Department of Education."""
1,"beto o'rourke Says ""only one other senator from either party over the last 25 years"" has ""a worse record on bipartisanship"" than Ted Cruz.  "
0,"scott wagner says ""Our unemployment rate is 20 percent higher than the national average.""   "
1,"david mckingley In West Virginia, ""personal income tax collections (were) up 14% from 2017."""
0,joshua feuerstein Says #MeToo movement sign suggested assaulting First Lady Melania Trump.
1,"joe donnelly ""At (Mike Braun’s) company, the deductible on his health care is $10,000."""
1,"gavin newsom ""Only Duterte’s Philippines and Trump’s United States of America have money bail."""
1,"taylor swift Says Marsha Blackburn ""voted against the Reauthorization of the Violence Against Women Act, which attempts to protect women from domestic violence, stalking, and date rape."""
0,"heidi heitkamp Says ""On the Public Service Commission, (Kevin Cramer) raised his pay to over $93,650."""
1,"Ann wagner ""Since passage of the Tax Cuts and Jobs Act, Walmart 'increased their starting wage to $11/hr & has given about $400 million in bonuses.'"""
1,"joe manchin ""I voted to fund President Trump’s wall."""
0,"donald trump Says Sen. Richard Blumenthal said he served in Vietnam in ""Da Nang Province. Soldiers dying left and right as we battled up the hill."" And ""then he cried when (the press) caught him.""  "
0,"rickey padgett John Kerry is ""now working on the behalf of foreign terrorist governments."""
1,"congressional leadership fund Says New Jersey U.S. Rep. Leonard Lance was ""rated among the most bipartisan in Congress.""  "
1,"rick scott Says Bill Nelson ""skipped 45 percent of the hearings on national security."""
